ID,BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,COUNTY
1,Brokered by Serhant,Condo for sale,195000000,7,10,17545.0,"217 W 57th St, New York, NY 10019, USA",40.7663935,-73.9809909,New York County
2,Brokered by Sowae Corp,House for sale,260000,4,2,2015.0,"620 Sinclair Ave, Staten Island, NY 10312, USA",40.5418051,-74.1961086,Richmond County
3,Brokered by COMPASS,Condo for sale,69000,3,1,445.0,"2 E 55th St, New York, NY 10022, USA",40.7613979,-73.9746128,New York County
4,Brokered by Sowae Corp,House for sale,690000,5,2,4004.0,"584 Park Pl, Brooklyn, NY 11238, USA",40.6743632,-73.9587248,Kings County
5,Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,899500,2,2,2184.207862,"157 W 126th St #1b, New York, NY 10027, USA",40.809448,-73.946777,New York County
6,Brokered by Connie Profaci Realty,House for sale,16800000,8,16,33000.0,"177 Benedict Rd, Staten Island, NY 10304, USA",40.5950017,-74.1064235,Richmond County
7,Brokered by CENTURY 21 MK Realty,Co-op for sale,440000,2,1,978.0,"1350 Ocean Pkwy #5g, Brooklyn, NY 11230, USA",40.6157378,-73.9696944,Kings County
8,Brokered by Engel & Volkers Americas,Co-op for sale,375000,2,1,850.0,"800 Grand Concourse #2j, Bronx, NY 10451, USA",40.8248699,-73.9229829,Bronx County
9,Brokered by COMPASS,Co-op for sale,259000,3,1,2184.207862,"34-41 85th St #1b, Flushing, NY 11372, USA",40.7531191,-73.8818757,Queens County
10,Brokered by Jamie & Connie Real Estate Grp,Co-op for sale,430000,2,2,2184.207862,"91-15 Lamont Ave #6d, Elmhurst, NY 11373, USA",40.7438639,-73.8745722,Queens County
11,Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,895000,3,1,2184.207862,"61 Jane St #6n, New York, NY 10014, USA",40.7382981,-74.0058899,New York County
12,Brokered by Awaye Realty,Condo for sale,549000,2,2,1000.0,"4654 Amboy Rd #2b, Staten Island, NY 10312, USA",40.5406209,-74.1671632,Richmond County
13,Brokered by Realty Executives Today,Townhouse for sale,975000,3,2,1734.0,"28-31 Hobart St, Flushing, NY 11377, USA",40.7607676,-73.9056672,Queens County
14,Brokered by Dorsa Group Realty,Co-op for sale,199000,3,1,325.0,"9430 Ridge Blvd #6d, Brooklyn, NY 11209, USA",40.6181029,-74.0369047,Kings County
15,Brokered by Coldwell Banker Realty,Co-op for sale,350000,1,1,700.0,"5800 Arlington Ave Apt 21s, Bronx, NY 10471, USA",40.9073699,-73.9065578,Bronx County
16,Brokered by Keller Williams Rlty Landmark,Condo for sale,599000,2,2,974.0,"92-29 Queens Blvd #3h, Rego Park, NY 11374, USA",40.7324713,-73.8670804,Queens County
17,Brokered by Radiant Estates LLC,House for sale,639999,3,2,1260.0,"27 Clove Way, Staten Island, NY 10301, USA",40.6207403,-74.1114362,Richmond County
18,"Brokered by Apaus, Inc",Condo for sale,1300000,2,2,1244.0,"10724 71st Rd #9f, Forest Hills, NY 11375, USA",40.7202429,-73.8430513,Queens County
19,Brokered by Keller Williams Ny Realty,Multi-family home for sale,1100000,6,3,2837.0,"1038 Throgs Neck Expy, Bronx, NY 10465, USA",40.8343936,-73.8221101,Bronx County
20,Brokered by Martino Realty Group,Condo for sale,349900,1,1,651.0,"165 Cromwell Ave #2b, Staten Island, NY 10304, USA",40.5902064,-74.0958034,Richmond County
21,Brokered by Elizabeth Marra,House for sale,750000,2,2,1330.0,"280 Loretto St, Staten Island, NY 10307, USA",40.5039785,-74.2396555,Richmond County
22,Brokered by CENTURY 21 Milestone Realty,Multi-family home for sale,1690000,6,4,2200.0,"149-07 85th Rd, Jamaica, NY 11435, USA",40.710749,-73.809486,Queens County
23,"Brokered by Nest Seekers International, Long Island",Co-op for sale,325000,1,1,2184.207862,"35-45 81st St e1, Jackson Heights, NY 11372, USA",40.7505078,-73.8851355,Queens County
24,Brokered by Du Chris Realty,Co-op for sale,230000,1,1,2184.207862,"33-24 Junction Blvd, Jackson Heights, NY 11372, USA",40.7557689,-73.8734231,Queens County
25,Brokered by Ashford Homes,Multi-family home for sale,1299888,10,6,3156.0,"310 Hillside Ave #312, Staten Island, NY 10304, USA",40.6155667,-74.0869554,Richmond County
26,NoBroker,Multi-family home for sale,925000,5,2,2750.0,"543 Hollywood Ave, Bronx, NY 10465, USA",40.8242389,-73.8173809,Bronx County
27,Brokered by Get Listed Get Sold NYC,Condo for sale,329000,1,2,794.0,"47 Lynn Ct, Staten Island, NY 10314, USA",40.6210398,-74.1504313,Richmond County
28,Brokered by RJM Realty Empire Inc.,Multi-family home for sale,1300000,10,8,5040.0,"366 Union Ave #4, Staten Island, NY 10303, USA",40.6274381,-74.1581613,Richmond County
29,Brokered by RE MAX Edge,Multi-family home for sale,848000,5,4,2080.0,"544 Hinsdale St, Brooklyn, NY 11207, USA",40.6615475,-73.898309,Kings County
30,Brokered by H P Greenfield Real Estate Ltd,Co-op for sale,279000,1,1,750.0,"1801 Ocean Ave #4a, Brooklyn, NY 11230, USA",40.6179165,-73.9546305,Kings County
31,Brokered by Ashford Homes LLC,Condo for sale,528000,1,1,602.0,"1238 63rd St #432, Brooklyn, NY 11219, USA",40.6275896,-74.0016198,Kings County
32,Brokered by Ashford Homes,Multi-family home for sale,1299888,11,4,3156.0,"310 Hillside Ave #312, Staten Island, NY 10304, USA",40.6155667,-74.0869554,Richmond County
33,Brokered by E Realty International Corp,Co-op for sale,275000,1,1,2184.207862,"44-55 Kissena Blvd #5f, Flushing, NY 11355, USA",40.7528774,-73.8211834,Queens County
34,Brokered by Corcoran Park Slope,Condo for sale,1165000,1,1,815.0,"338 Berry St #4e, Brooklyn, NY 11249, USA",40.711969,-73.9649468,Kings County
35,Brokered by Staten Island Homes Realty Corp,Multi-family home for sale,1199000,6,5,3290.0,"10 Simon Ct, Staten Island, NY 10307, USA",40.5159256,-74.2361135,Richmond County
36,Brokered by Exp Realty,Multi-family home for sale,700000,6,2,3053.0,"229 W Tremont Ave, Bronx, NY 10453, USA",40.852813,-73.9176871,Bronx County
37,Brokered by Century 21 Realty First,Multi-family home for sale,2150000,8,4,3200.0,"2226 63rd St, Brooklyn, NY 11204, USA",40.614446,-73.9795824,Kings County
38,Brokered by E Realty International Corp,Multi-family home for sale,1280000,7,5,2460.0,"86-05 91st Ave, Jamaica, NY 11421, USA",40.688312,-73.856322,Queens County
39,Brokered by Brown Harris Stevens,Co-op for sale,199900,1,1,2184.207862,"828 Gerard Ave #5f, Bronx, NY 10451, USA",40.8260352,-73.9256625,Bronx County
40,Brokered by Winzone Realty Inc,Co-op for sale,369000,2,1,2184.207862,"43-40 Union St #3d, Flushing, NY 11355, USA",40.753455,-73.8209077,Queens County
41,Brokered by Prestige Homes Ny Inc,Multi-family home for sale,699000,4,3,1591.0,"111-31 141st St, Jamaica, NY 11435, USA",40.6847504,-73.8027331,Queens County
42,Brokered by Brown Harris Stevens,Co-op for sale,4250000,3,2,2400.0,"123 Prince St Apt 1f, New York, NY 10012, USA",40.725464,-73.9999212,New York County
