ID,school_name,borough,building_code,average_math,average_reading,average_writing,percent_tested,name_key,lat,long,overall_score,performance_level
1,Essex Street Academy,Manhattan,M445,395,411,387,78.9,essex street academy,40.716778,-73.989337,398,Medium Performance
2,Lower Manhattan Arts Academy,Manhattan,M445,418,428,415,65.1,lower manhattan arts academy,40.716778,-73.989337,420,Medium Performance
3,High School for Dual Language and Asian Studies,Manhattan,M445,613,453,463,95.9,high school for dual language and asian studies,40.716778,-73.989337,510,High Performance
4,Henry Street School for International Studies,Manhattan,M056,410,406,381,59.7,henry street school for international studies,40.713684,-73.986336,399,Medium Performance
5,Bard High School Early College,Manhattan,M097,634,641,639,70.8,bard high school early college,40.719029,-73.975891,638,High Performance
6,Marta Valle High School,Manhattan,M025,438,413,394,35.6,marta valle high school,40.720581,-73.985645,415,Medium Performance
7,University Neighborhood High School,Manhattan,M446,437,355,352,69.9,university neighborhood high school,40.712399,-73.984497,381,Low Performance
8,New Design High School,Manhattan,M445,381,396,372,73.7,new design high school,40.716778,-73.989337,383,Low Performance
9,Pace High School,Manhattan,M131,430,435,427,87.8,pace high school,40.716553,-73.993092,431,Medium Performance
10,International High School at Union Square,Manhattan,M460,403,330,316,53.2,international high school at union square,40.735494,-73.987659,350,Low Performance
11,Institute for Collaborative Education,Manhattan,M475,501,550,541,78.6,institute for collaborative education,40.732447,-73.983031,531,High Performance
12,Gramercy Arts High School,Manhattan,M460,446,459,455,79.6,gramercy arts high school,40.735494,-73.987659,453,High Performance
13,Urban Assembly New York Harbor School,Manhattan,M877,446,453,428,78.8,urban assembly new york harbor school,40.701695,-74.011631,442,High Performance
14,Richard R. Green High School of Teaching,Manhattan,M282,411,415,409,60.0,richard r. green high school of teaching,40.70568,-74.013302,412,Medium Performance
15,Millennium High School,Manhattan,M824,577,560,567,94.0,millennium high school,40.704487,-74.011556,568,High Performance
16,High School of Economics and Finance,Manhattan,M833,469,442,447,66.8,high school of economics and finance,40.709196,-74.012022,453,High Performance
17,Leadership and Public Service High School,Manhattan,M894,390,396,392,54.9,leadership and public service high school,40.70873,-74.012332,393,Medium Performance
18,East Side Community School,Manhattan,M060,454,428,445,85.2,east side community school,40.729589,-73.982555,442,High Performance
19,Baruch College Campus High School,Manhattan,M874,592,526,531,94.3,baruch college campus high school,40.74193,-73.986521,550,High Performance
20,School of the Future High School,Manhattan,M660,534,533,522,89.9,school of the future high school,40.738952,-73.985479,530,High Performance
21,Manhattan Village Academy,Manhattan,M873,522,479,510,98.8,manhattan village academy,40.741497,-73.991512,504,High Performance
22,Hudson High School of Learning Technologies,Manhattan,M440,378,407,388,71.8,hudson high school of learning technologies,40.742867,-74.002136,391,Low Performance
23,Manhattan Business Academy,Manhattan,M440,410,407,399,69.7,manhattan business academy,40.742867,-74.002136,405,Medium Performance
24,Landmark High School,Manhattan,M440,386,386,386,30.6,landmark high school,40.742867,-74.002136,386,Low Performance
25,Chelsea Career and Technical Education High School,Manhattan,M615,439,418,400,80.4,chelsea career and technical education high school,40.7244,-74.004625,419,Medium Performance
26,NYC iSchool,Manhattan,M615,518,515,503,96.0,nyc ischool,40.7244,-74.004625,512,High Performance
27,Unity Center for Urban Technologies,Manhattan,M620,375,385,387,62.8,unity center for urban technologies,40.746176,-73.981241,382,Low Performance
28,Business of Sports School,Manhattan,M625,395,386,371,67.5,business of sports school,40.76337,-73.990593,384,Low Performance
29,High School for Environmental Studies,Manhattan,M834,469,454,444,74.0,high school for environmental studies,40.767791,-73.987531,456,High Performance
30,Art and Design High School,Manhattan,M488,455,475,458,70.1,art and design high school,40.75924,-73.967203,463,High Performance
31,Manhattan Bridges High School,Manhattan,M535,409,360,347,84.4,manhattan bridges high school,40.765184,-73.992953,372,Low Performance
32,Urban Assembly Gateway School for Technology,Manhattan,M625,445,432,415,78.4,urban assembly gateway school for technology,40.76337,-73.990593,431,Medium Performance
33,Food and Finance High School,Manhattan,M535,428,435,421,52.0,food and finance high school,40.765184,-73.992953,428,Medium Performance
