ID,school_name,borough,building_code,average_math,average_reading,average_writing,percent_tested,lat,long
1,Essex Street Academy,Manhattan,M445,395,411,387,78.9,40.716778,-73.989337
2,Lower Manhattan Arts Academy,Manhattan,M445,418,428,415,65.1,40.716778,-73.989337
3,High School for Dual Language and Asian Studies,Manhattan,M445,613,453,463,95.9,40.716778,-73.989337
4,Henry Street School for International Studies,Manhattan,M056,410,406,381,59.7,40.713684,-73.986336
5,Bard High School Early College,Manhattan,M097,634,641,639,70.8,40.719029,-73.975891
6,Marta Valle High School,Manhattan,M025,438,413,394,35.6,40.720581,-73.985645
7,University Neighborhood High School,Manhattan,M446,437,355,352,69.9,40.712399,-73.984497
8,New Design High School,Manhattan,M445,381,396,372,73.7,40.716778,-73.989337
9,Pace High School,Manhattan,M131,430,435,427,87.8,40.716553,-73.993092
10,International High School at Union Square,Manhattan,M460,403,330,316,53.2,40.735494,-73.987659
11,Institute for Collaborative Education,Manhattan,M475,501,550,541,78.6,40.732447,-73.983031
12,Gramercy Arts High School,Manhattan,M460,446,459,455,79.6,40.735494,-73.987659
13,Urban Assembly New York Harbor School,Manhattan,M877,446,453,428,78.8,40.701695,-74.011631
14,Richard R. Green High School of Teaching,Manhattan,M282,411,415,409,60.0,40.70568,-74.013302
15,Millennium High School,Manhattan,M824,577,560,567,94.0,40.704487,-74.011556
16,High School of Economics and Finance,Manhattan,M833,469,442,447,66.8,40.709196,-74.012022
17,Leadership and Public Service High School,Manhattan,M894,390,396,392,54.9,40.70873,-74.012332
18,East Side Community School,Manhattan,M060,454,428,445,85.2,40.729589,-73.982555
19,Baruch College Campus High School,Manhattan,M874,592,526,531,94.3,40.74193,-73.986521
20,School of the Future High School,Manhattan,M660,534,533,522,89.9,40.738952,-73.985479
21,Manhattan Village Academy,Manhattan,M873,522,479,510,98.8,40.741497,-73.991512
22,Hudson High School of Learning Technologies,Manhattan,M440,378,407,388,71.8,40.742867,-74.002136
23,Manhattan Business Academy,Manhattan,M440,410,407,399,69.7,40.742867,-74.002136
24,Landmark High School,Manhattan,M440,386,386,386,30.6,40.742867,-74.002136
25,Chelsea Career and Technical Education High School,Manhattan,M615,439,418,400,80.4,40.7244,-74.004625
26,NYC iSchool,Manhattan,M615,518,515,503,96.0,40.7244,-74.004625
27,Unity Center for Urban Technologies,Manhattan,M620,375,385,387,62.8,40.746176,-73.981241
28,Business of Sports School,Manhattan,M625,395,386,371,67.5,40.76337,-73.990593
29,High School for Environmental Studies,Manhattan,M834,469,454,444,74.0,40.767791,-73.987531
30,Art and Design High School,Manhattan,M488,455,475,458,70.1,40.75924,-73.967203
31,Manhattan Bridges High School,Manhattan,M535,409,360,347,84.4,40.765184,-73.992953
32,Urban Assembly Gateway School for Technology,Manhattan,M625,445,432,415,78.4,40.76337,-73.990593
33,Food and Finance High School,Manhattan,M535,428,435,421,52.0,40.765184,-73.992953
34,Eleanor Roosevelt High School,Manhattan,M855,641,617,631,86.0,40.770187,-73.953608
35,Beacon High School,Manhattan,M837,583,586,595,82.8,40.772007,-73.987479
36,High School of Arts and Technology,Manhattan,M490,421,428,406,44.4,40.774351,-73.984753
37,Manhattan / Hunter Science High School,Manhattan,M490,581,531,535,97.2,40.774351,-73.984753
38,Frank McCourt High School,Manhattan,M470,489,491,500,89.1,40.785803,-73.974614
39,Columbia Secondary School,Manhattan,M125,583,561,546,88.2,40.810431,-73.955809
40,Urban Assembly School for the Performing Arts,Manhattan,M043,379,399,388,76.7,40.815256,-73.955325
41,Central Park East High School,Manhattan,M013,483,468,439,97.9,40.793763,-73.949381
42,Park East High School,Manhattan,M495,429,433,435,89.6,40.790543,-73.944356
43,Young Women's Leadership School,Manhattan,M895,478,465,472,100.0,40.792741,-73.947428
44,Manhattan Center for Science and Mathematics,Manhattan,M435,556,505,495,87.6,40.793856,-73.934028
45,Mott Hall High School,Manhattan,M136,416,445,440,36.9,40.817372,-73.947712
46,A. Philip Randolph Campus High School,Manhattan,M540,459,453,447,74.0,40.818188,-73.950356
