school,lat,long
P.S. 006,40.64859,-73.957138
P.S. 005 Dr. Ronald Mcnair,40.685695,-73.922463
P.S. 003 The Bedford Village,40.682663,-73.955338
655 PARKSIDE AVENUE CONSOLIDATED LOCATION,40.656183,-73.951583
P.S. K141,40.656183,-73.951583
EXPLORE CHARTER SCHOOL(BS),40.656183,-73.951583
Parkside Preparatory Academy,40.656183,-73.951583
Hospital Schools - Bronx,40.832117,-73.82749
P.S. 001 The Bergen,40.649042,-74.012289
P.S. 008 Robert Fulton,40.70071,-73.993241
P.S. 095 The Gravesend,40.595698,-73.97518
P.S. 165 Ida Posner,40.65744,-73.911053
I.S. 077,40.699516,-73.90214
P.S. 36,40.660134,-73.887023
Hospital Schools,40.832117,-73.82749
Hospital Schools - Brooklyn,40.832117,-73.82749
High School of American Studies at Lehman College,40.873938,-73.895382
Luisa Pineiro Fuentes School of Science and Discov,40.869296,-73.901525
350 GERARD AVENUE CONSOLIDATED LOCATION,40.815938,-73.930386
Health Opportunities High School,40.815938,-73.930386
Fannie Lou Hamer Freedom High School,40.83087,-73.88626
Bronx Leadership Academy High School,40.843588,-73.903236
P.S. 315 Lab School,40.857842,-73.904202
Bronx Dance Academy School,40.885116,-73.877679
P.S. 246 Poe Center,40.865593,-73.894758
Bronx High School for the Visual Arts,40.851405,-73.865036
The Vida Bogart School for All Children,40.83132,-73.894794
P.S. 226,40.856586,-73.916198
P.S. 207,40.878322,-73.906556
730 CONCOURSE VILLAGE WEST CONSOLIDATED LOCATION,40.82231,-73.923829
Urban Assembly School for Careers in Sports,40.82231,-73.923829
New Explorers High School,40.82231,-73.923829
Passages Academy,40.815878,-73.914404
Bronx Leadership Academy II High School,40.82231,-73.923829
2474 CROTONA AVENUE CONSOLIDATED LOCATION,40.855698,-73.882715
Grace Dodge Yabc,40.855698,-73.882715
Grace Dodge Career and Technical Education High Sc,40.855698,-73.882715
High School for Energy and Technology,40.855698,-73.882715
Community School for Social Justice,40.815938,-73.930386
Crotona International High School,40.855698,-73.882715
Bronx Academy for Software Engineering (BASE),40.855698,-73.882715
455 SOUTHERN BLVD CONSOLIDATED LOCATION,40.810803,-73.907015
